"idClienBack","nombreCliente","emailCliente","copiado_en"
"1","Ana García López","ana.garcia@gmail.com","2024-04-20 01:00:00"
"2","Carlos Martínez Ruiz","carlos.martinez@hotmail.com","2024-04-20 01:00:01"
"3","Laura Sánchez Torres","laura.sanchez@yahoo.com","2024-04-20 01:00:02"
"4","Andrés Pérez Gómez","andres.perez@outlook.com","2024-04-20 01:00:03"
"5","María Rodríguez Silva","maria.rodriguez@gmail.com","2024-04-20 01:00:04"
"6","Jorge Hernández Cruz","jorge.hernandez@gmail.com","2024-04-20 01:00:05"
"7","Sofía López Vargas","sofia.lopez@hotmail.com","2024-04-20 01:00:06"
"8","David González Mora","david.gonzalez@gmail.com","2024-04-20 01:00:07"
"9","Valentina Castro Ríos","valentina.castro@yahoo.com","2024-04-20 01:00:08"
"10","Felipe Torres Ospina","felipe.torres@outlook.com","2024-04-20 01:00:09"
"11","Isabela Ramírez Díaz","isabela.ramirez@gmail.com","2024-04-20 01:00:10"
"12","Sebastián Flores Acosta","sebastian.flores@hotmail.com","2024-04-20 01:00:11"
"13","Camila Vargas Reyes","camila.vargas@gmail.com","2024-04-20 01:00:12"
"14","Ricardo Medina Jiménez","ricardo.medina@yahoo.com","2024-04-20 01:00:13"
"15","Daniela Rojas Muñoz","daniela.rojas@gmail.com","2024-04-20 01:00:14"
"16","Julián Ortiz Cárdenas","julian.ortiz@outlook.com","2024-04-20 01:00:15"
"17","Natalia Suárez Peña","natalia.suarez@gmail.com","2024-04-20 01:00:16"
"18","Alejandro Morales Vega","alejandro.morales@hotmail.com","2024-04-20 01:00:17"
"19","Gabriela Ríos Herrera","gabriela.rios@gmail.com","2024-04-20 01:00:18"
"20","Mateo Gutiérrez Pardo","mateo.gutierrez@yahoo.com","2024-04-20 01:00:19"
"21","Paula Mendoza Lara","paula.mendoza@gmail.com","2024-04-20 01:00:20"
"22","Esteban Castillo Nieto","esteban.castillo@outlook.com","2024-04-20 01:00:21"
"23","Luciana Romero Blanco","luciana.romero@gmail.com","2024-04-20 01:00:22"
"24","Santiago Navarro Fuentes","santiago.navarro@hotmail.com","2024-04-20 01:00:23"
"25","Valeria Aguilar Serrano","valeria.aguilar@yahoo.com","2024-04-20 01:00:24"
"26","Tomás Espinosa Cano","tomas.espinosa@gmail.com","2024-04-20 01:00:25"
"27","Mariana Ibáñez Guerrero","mariana.ibanez@outlook.com","2024-04-20 01:00:26"
"28","Nicolás Delgado Arango","nicolas.delgado@gmail.com","2024-04-20 01:00:27"
"29","Carolina Pinto Salazar","carolina.pinto@hotmail.com","2024-04-20 01:00:28"
"30","Emilio Cabrera Ossa","emilio.cabrera@gmail.com","2024-04-20 01:00:29"
"31","Sara Vergara Montoya","sara.vergara@yahoo.com","2024-04-20 01:00:30"
"32","Martín Zapata Córdoba","martin.zapata@gmail.com","2024-04-20 01:00:31"
"33","Manuela Arias Betancur","manuela.arias@outlook.com","2024-04-20 01:00:32"
"34","Diego Soto Escobar","diego.soto@gmail.com","2024-04-20 01:00:33"
"35","Lucía Palacios Rendón","lucia.palacios@hotmail.com","2024-04-20 01:00:34"
"36","Iván Quintero Jaramillo","ivan.quintero@gmail.com","2024-04-20 01:00:35"
"37","Alejandra Cano Duque","alejandra.cano@yahoo.com","2024-04-20 01:00:36"
"38","Óscar Londoño Velásquez","oscar.londono@outlook.com","2024-04-20 01:00:37"
"39","Patricia Hurtado Giraldo","patricia.hurtado@gmail.com","2024-04-20 01:00:38"
"40","Mauricio Mejía Cardona","mauricio.mejia@hotmail.com","2024-04-20 01:00:39"
"41","Ximena Trujillo Palacio","ximena.trujillo@gmail.com","2024-04-20 01:00:40"
"42","Hernán Arbeláez Franco","hernan.arbelaez@yahoo.com","2024-04-20 01:00:41"
"43","Gloria Restrepo Vélez","gloria.restrepo@gmail.com","2024-04-20 01:00:42"
"44","Raúl Bustamante Gil","raul.bustamante@outlook.com","2024-04-20 01:00:43"
"45","Beatriz Ochoa Naranjo","beatriz.ochoa@gmail.com","2024-04-20 01:00:44"
"46","Fernando Uribe Posada","fernando.uribe@hotmail.com","2024-04-20 01:00:45"
"47","Claudia Arroyave Henao","claudia.arroyave@yahoo.com","2024-04-20 01:00:46"
"48","Rodrigo Bedoya Mesa","rodrigo.bedoya@gmail.com","2024-04-20 01:00:47"
"49","Elena Tobón Alzate","elena.tobon@outlook.com","2024-04-20 01:00:48"
"50","Alberto Gaviria Holguín","alberto.gaviria@gmail.com","2024-04-20 01:00:49"
